"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"RWDD1"	"RWDD1"	0.704047928272493	-0.262062947959816	-0.628104181415153	"S01"	0.704047928272493	"IS01"
"CDK5RAP1"	"CDK5RAP1"	0.701786099554563	-0.910253726128506	-0.0177337580333023	"S01"	0.701786099554563	"IS01"
"RABGGTB"	"RABGGTB"	0.701421196497398	-1.00921110695343	0.0754740199242547	"S01"	0.701421196497398	"IS01"
"ADNP"	"ADNP"	0.701199626744873	-1.00174451096394	0.0687503894503388	"S01"	0.701199626744873	"IS01"
"COX7A2L"	"COX7A2L"	0.700796516545651	-0.593853109689371	-0.313074898915904	"S01"	0.700796516545651	"IS01"
"ACTL6A"	"ACTL6A"	0.700538756077181	-0.318650388523294	-0.570708559324946	"S01"	0.700538756077181	"IS01"
"TMX3"	"TMX3"	0.697820181939325	-0.538798869204791	-0.360984738701977	"S01"	0.697820181939325	"IS01"
"TRIM4"	"TRIM4"	0.697559861135843	-1.03079427550764	0.100496413479315	"S01"	0.697559861135843	"IS01"
"RPL9"	"RPL9"	0.697414645396253	-0.0838956545587018	-0.786872219899701	"S01"	0.697414645396253	"IS01"
"SESN1"	"SESN1"	0.696278777161779	-0.157313364219805	-0.716646548442607	"S01"	0.696278777161779	"IS01"
"PATZ1"	"PATZ1"	0.696022307846678	-0.789210846253393	-0.124036891397854	"S01"	0.696022307846678	"IS01"
"SYT15"	"SYT15"	0.694815852663119	-0.190748575536299	-0.683491464582941	"S01"	0.694815852663119	"IS01"
"DLD"	"DLD"	0.69476436784086	-0.303495715972192	-0.577747202497514	"S01"	0.69476436784086	"IS01"
"RGL4"	"RGL4"	0.694657510390761	0.139037239594444	-0.992410436902529	"S01"	0.694657510390761	"IS01"
"ANKZF1"	"ANKZF1"	0.694409386152655	-0.909304210287733	-0.00946906958242838	"S01"	0.694409386152655	"IS01"
"MSMO1"	"MSMO1"	0.693087682179358	-0.482724994181006	-0.407670858324152	"S01"	0.693087682179358	"IS01"
"MAP4K1"	"MAP4K1"	0.692127035479679	-1.04346586626924	0.119116049423451	"S01"	0.692127035479679	"IS01"
"SRP19"	"SRP19"	0.690774362093314	-0.607638237628512	-0.287716045436088	"S01"	0.690774362093314	"IS01"
